Time,,,,,,,A/C Mach,A/C Heading (deg),Weapon LAT (deg),,Weapon ALT (ft),Weapon Downtrack (ft),Weapon Crosstrack (ft),,,,Wpn Heading,Wpn Pitch,Wpn Roll,,S1SYSTM01500,S1SYSTM00505,Target LAT (deg),,Target ALT (ft),S1FCPTT004,S1FCPTT005,,S1STGT101107,Tgt Impact Angle,S1STGT101106,Tgt Impact Heading,S1STGT101108,Tgt Offset North,Tgt Offset East,Tgt Offset Down,S1STGT101004
274:07:05:21.071,,,,,,,0.885926,11.764104,31.867194,,20066.679688,49845.933594,-245.621475,,,,16.192381,-7.328234,1.034019,,0,4,31.999672,,0.000000,0.000000,57.875000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:21.134,,,,,,,0.885926,11.764104,31.867320,,20066.082031,49798.386719,-252.058960,,,,17.452141,-10.472286,0.944627,,0,4,31.999672,,0.000000,-1760.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:21.197,,,,,,,0.885926,11.764104,31.867470,,20065.234375,49740.832031,442.411896,,,,18.213318,-14.845790,-0.239374,,0,4,31.999672,,0.000000,-169.812500,57.875000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:21.260,,,,,,,0.885926,11.764104,31.867672,,20063.761719,49665.722656,379.541229,,,,20.406584,-20.989088,-3.656881,,0,4,31.999672,,0.000000,0.000000,12.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:21.323,,,,,,,0.885926,11.764104,31.867822,,20062.296875,49609.820313,293.928192,,,,21.749014,-25.087585,-8.077744,,0,4,31.999672,,0.000000,0.000000,12.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:21.386,,,,,,,0.884745,11.764104,31.867972,,20060.453125,-9384026.000000,10333403.000000,,,,22.602551,-28.330883,-15.433476,,0,4,0.000000,,15010.593750,1650.062500,0.000000,,0,0.000000,0,180.000000,1,27.887138,0.000000,14071.522461,9
274:07:05:21.449,,,,,,,0.884745,11.764104,161.268867,,28343.484375,73694544.000000,-36164416.000000,,,,157.095123,90.000000,155.348862,,0,4,0.000000,,15010.593750,0.000000,0.000000,,0,0.000000,0,180.000000,1,27.887138,0.000000,14071.522461,9
274:07:05:21.512,,,,,,,0.884745,11.764104,31.868293,,20054.917969,-10276984.000000,9445877.000000,,,,148.480133,19.192276,157.108582,,0,4,0.000000,,15010.593750,0.000000,0.000000,,0,0.000000,0,180.000000,1,27.887138,0.000000,14071.522461,9
274:07:05:21.575,,,,,,,0.884745,11.764104,31.868443,,20051.585938,-9336000.000000,10376945.000000,,,,23.837273,-27.007984,-37.002201,,0,4,0.000000,,15010.593750,234.937500,-335.625000,,0,0.000000,0,180.000000,1,27.887138,0.000000,14071.522461,9
274:07:05:21.638,,,,,,,0.884745,11.764104,31.868590,,-38363.394531,21325540.000000,-41904520.000000,,,,90.987785,90.000000,113.660820,,0,4,0.000000,,15010.593750,57.875000,1854.875000,,0,0.000000,0,180.000000,1,27.887138,0.000000,14071.522461,9
274:07:05:21.700,,,,,,,0.884745,11.764104,31.868761,,20042.992188,-9142088.000000,10548266.000000,,,,24.183008,-14.254154,-34.336891,,0,4,0.000000,,15010.593750,57.875000,1854.875000,,0,0.000000,0,180.000000,1,27.887138,0.000000,14071.522461,9
274:07:05:21.763,,,,,,,0.884745,11.764104,31.868908,,20038.626953,-9116998.000000,10569999.000000,,,,23.158489,-7.508413,-32.861710,,0,4,0.000000,,15010.593750,57.875000,1854.875000,,0,0.000000,0,180.000000,1,27.887138,0.000000,14071.522461,9
