Time,Weapon LAT (deg),Weapon LON (deg),Weapon ALT (ft),Target LAT (deg),Target LON (deg),Target ALT (ft),Separation Time
274:07:05:23.212,-25.036081610341668,19.98900545913043,19907.255859,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:23.275,-128.9881533452042,-157.97123773844388,19898.677734,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:23.338,-71.33436126790875,-185.504665789791,19891.177734,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:23.401,-68.68747616602556,-186.20840869086376,19882.267578,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:23.464,-68.70713435461359,-186.20305594755285,19874.498047,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:23.527,-68.70797779435966,-186.20255783343023,19865.291016,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:23.590,-71.38416762030525,-185.4898847587076,19857.275391,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:23.653,-71.38606136094425,-185.48909681449805,19849.150391,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:23.716,-71.39083170093949,-185.48749986860787,19840.912109,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:23.779,-68.72346554952904,-186.19751861817394,19832.556641,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:23.842,-68.7320122450761,-186.19499832875368,19822.660156,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:23.905,-71.41354155724609,-185.48043901048686,19814.046875,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:23.968,-68.73945233308638,-186.19253242503555,19803.849609,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:24.031,-71.40681977330098,-185.48173526245014,19794.986328,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:24.094,-71.38595043991357,-185.4871925006674,19786.015625,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:24.157,-68.67310812216036,-186.20887260376674,19776.955078,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:24.220,-68.59588698998647,-186.22843294310536,19766.28125,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:24.283,-68.51651074950271,-186.24853567994296,19757.068359,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:24.345,-68.423189748391,-186.27222804047437,19747.808594,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:24.408,-68.2991647077062,-186.30363864388167,19736.974609,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:24.471,-68.18678099782628,-186.3320173347761,19727.677734,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:24.534,-25.243681555259638,20.073201677651774,19718.378906,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:24.597,-25.243658018437582,20.07301424953213,19709.076172,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:24.660,-25.24363457394703,20.072791178389537,19698.224609,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:24.723,-25.243619426788978,20.07259627058696,19688.939453,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:24.786,-25.243602176044075,20.07236856289101,19678.125,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:24.849,-25.2421479419148,20.073408957261194,19668.878906,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:24.912,-25.24356811173434,20.071980504337205,19659.652344,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:24.975,-25.041981453370365,19.92795297013475,-85592.53125,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:25.038,-25.24210090549124,20.0728301265569,19641.267578,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:25.101,-25.242086007789883,20.072602079611258,19630.585938,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:25.164,83.8637569193589,78.09388817441801,-91098.328125,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:25.227,-25.041286053737103,19.989460776746146,19610.839844,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:25.290,-25.041422824116307,19.989520123223656,19603.283203,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:25.353,-25.041613571283975,19.989604138948085,19592.732422,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:25.416,-25.041777351521002,19.989673412626026,19583.71875,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:25.479,-25.041937591045716,19.989741348027373,19574.736328,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:25.542,-25.042129177350372,19.989824599146306,19564.291016,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:25.605,-25.042292605535398,19.989894555364625,19555.365234,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:25.668,-25.042480133575605,19.989973200781552,19544.986328,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:25.731,-25.04264388471988,19.99004405893354,19536.119141,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:25.794,-25.042808071696694,19.990112998163067,19527.28125,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:25.857,-25.042968214491637,19.99018192736062,19518.46875,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:25.920,-25.043159126792816,19.990262472110267,19508.220703,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:25.983,-25.043319709559903,19.990328982687913,19499.466797,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:26.046,-25.04351116061739,19.99041151628087,19489.283203,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:26.109,-25.043671474205787,19.990479670725417,19480.582031,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:26.172,-25.04383539448155,19.990548528131946,19471.910156,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:26.235,-25.043995975197195,19.990617288304982,19463.259766,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:26.298,-25.044159750994424,19.990684741636816,19454.638672,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:26.361,-25.044347570944275,19.990763544658527,19444.611328,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:26.424,-25.044144897434837,19.988911741949742,19436.042969,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:26.487,-25.044331361845405,19.988990946319145,19426.078125,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:26.550,-25.044858900888574,19.99097053454472,19417.5625,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:26.613,-25.045019284638023,19.99103593131811,19409.074219,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:26.676,-25.045179626241524,19.991100814694054,19400.607422,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:26.739,-25.04534054612549,19.99117183794195,19392.166016,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:26.802,-25.04553094279678,19.991243503260417,19382.349609,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:26.865,-25.04569179896283,19.99130984139465,19373.962891,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:26.928,-25.045879559462808,19.991387923287274,19364.205078,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:26.990,-25.04603920753119,19.99144756230752,19355.871094,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:27.053,-25.046199912272858,19.99151553145621,19347.560547,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:27.116,-25.046359512833817,19.99157775851614,19339.273438,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:27.179,-25.046520344261005,19.991642110669368,19331.009766,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:27.242,-25.046707692582636,19.99171615108587,19321.400391,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:27.305,-25.04649343289246,19.98990564497464,19313.1875,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:27.368,-25.047055172118508,19.991852973369827,19303.634766,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:27.431,-25.047215652027216,19.991914127494923,19295.474609,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:27.494,-25.047375976353834,19.991977817951064,19287.335938,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:27.557,-25.047532661690724,19.99203976465445,19279.21875,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:27.620,-25.04771983135221,19.992110538790286,19269.78125,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:27.683,-25.04787908713999,19.992167922760224,19261.712891,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:27.746,-25.04803890338284,19.992227758464608,19253.667969,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:27.809,-25.048222425025312,19.992299523067985,19244.308594,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:27.872,-25.04838216221102,19.99235824382017,19236.310547,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:27.935,117.42634685279643,-46.39235460831998,-103231.976563,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:27.998,-25.048698205691664,19.9924745819107,19220.376953,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:28.061,-25.048884822033212,19.992543405868116,19211.119141,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:28.124,-210.23445099303092,239.45863166995895,-49478.792969,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:28.187,-25.04884206602089,19.9908306869604,19194.005859,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:28.250,-25.04900090268707,19.99089286063259,19186.140625,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:28.313,-25.049543228380763,19.992779274156053,19178.294922,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:28.376,-25.049702103251125,19.992834927047948,19170.46875,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:28.439,-25.049858293586848,19.99289013239689,19162.662109,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:28.502,-25.0500419813366,19.99295848914883,19153.578125,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:28.565,-25.050200814399687,19.99301299286641,19145.814453,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:28.628,-25.050383725246018,19.99307711198816,19136.779297,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:28.691,-25.050538872656162,19.99312637858039,19129.054688,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:28.754,-25.050698674792972,19.993184284699208,19121.349609,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:28.817,-25.05085458598046,19.993239805876414,19113.662109,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:28.880,-25.051037466256233,19.9933023137935,19104.71875,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:28.943,-25.05119317193435,19.99335628099588,19097.072266,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:29.006,-25.05135242683335,19.993410530354442,19089.443359,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:29.069,-25.051534244994215,19.993467403439826,19080.566406,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:29.132,-25.051690047516793,19.99352089909888,19072.974609,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:29.195,-25.05184539469591,19.99357215289865,19065.400391,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:29.258,-25.05200127491965,19.993625423211586,19057.841797,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:29.321,-25.052183874025914,19.993684410806505,19049.048828,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:29.384,-25.052338911813003,19.993736689384743,19041.529297,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:29.447,-25.052521121667144,19.99379326412476,19032.779297,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:29.510,-25.05267638403315,19.993842792833615,19025.296875,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:29.573,-25.052830870338248,19.99389185583701,19017.830078,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:29.635,-25.052986270598073,19.993941362625073,19010.378906,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:29.698,-25.053141355938045,19.99398931458517,19002.945313,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:29.761,-25.053320210670435,19.994047854067507,18994.291016,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:29.824,-25.0534743425395,19.99409434116759,18986.890625,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:29.887,-25.05365617637076,19.994147240118433,18978.275391,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:29.950,-25.053811254172157,19.994197238676644,18970.90625,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:30.013,-25.05396195361982,19.994239832104274,18963.552734,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:30.076,-25.054116966632073,19.994289023249816,18956.212891,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:30.139,-25.05427174874294,19.99433693143847,18948.888672,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:30.202,-25.054449621394674,19.99438933333472,18940.363281,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:30.265,-25.054604736234186,19.994435065405227,18933.068359,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:30.328,-25.054782766511927,19.99449050606065,18924.576172,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:30.391,-25.054937445517794,19.994533983862777,18917.3125,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:30.454,-25.055091934252943,19.994579466189787,18910.060547,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:30.517,-25.055243277156592,19.994625879070533,18902.822266,31.999672,34.0,15010.59375,274:07:05:21.638
